Symbol,Referent
Task Force,CHAMPS
Task Force,Gates Foundation
Task Force,PIVI Partners
Task Force,Mectizan
Task Force,Global Partnership for Zero Leprosy
Task Force,NTD Support
Task Force,Children Without Worms
Task Force,International Trachoma Initiative
Task Force,Tephinet
Task Force,MedSurplus Alliance
Task Force,Emory Kenya Health Workforce Project
Task Force,Public Health Informatics Institute
Task Force,Global Polio Eradication Initiative
Task Force,Transition Management Group
Task Force,Immunization Systems Management Group
Task Force,UNIFLUVAC
Task Force,Center for Compassion & Global Health
Task Force,Rockefeller Foundation
Task Force,WHO
Task Force,UNICEF
Task Force,World Bank
Task Force,United Nations Development Programme
CHAMPS,NORAD
CHAMPS,UNICEF
CHAMPS,GAVI
CHAMPS,BMGF
CHAMPS,IANPHI
CHAMPS,IHME
CHAMPS,DFID
CHAMPS,WHO
CHAMPS,World Bank
CHAMPS,KEMRI
CHAMPS,MOH of Kenya
CHAMPS,Henry Jackson Foundation
CHAMPS,CDC
CHAMPS,"CVD, Mali"
CHAMPS,"U of Maryland, Baltimore"
CHAMPS,Mali MOH
CHAMPS,Kisumu County MOH
CHAMPS,CISM
CHAMPS,INS
CHAMPS,CDC
CHAMPS,Crown Agents
CHAMPS,MOH & Sanitation-Sierra Leone
CHAMPS,RMPRU
CHAMPS,Wits Health Consortium
CHAMPS,Chris Hani Baragwanath Hospital
CHAMPS,NICD
CHAMPS,BSMMU
CHAMPS,"ICDDR,B"
CHAMPS,IEDCR
CHAMPS,Haramaya University
CHAMPS,London School of Hygiene & Tropical Medicine
CHAMPS,EPHI
Gates Foundation,The Brazilian MOH
Gates Foundation,Foundation for the National Institutes of Health
Gates Foundation,Grand Challenges Canada
Gates Foundation,India Dept. of Biotechnology
Gates Foundation,US Agency for International Development
Gates Foundation,Wellcome Trust
Gates Foundation,Agence de Médecine Préventive
Gates Foundation,Sabin Vaccine Institute
Gates Foundation,Coalition Against Typhoid
Gates Foundation,CDC
Gates Foundation,Clinton Health Access Initiative
Gates Foundation,GAVI
Gates Foundation,"International Centre for Diarrhoeal Disease Research, Bangladesh"
Gates Foundation,International Vaccine Institute
Gates Foundation,Johns Hopkins
Gates Foundation,"U of Maryland, Baltimore"
Gates Foundation,UNICEF
Gates Foundation,U of Virginia
Gates Foundation,WHO
Gates Foundation,"The Global Fund to Fight AIDS, TB, & Malaria"
Gates Foundation,US President’s Emergency Plan for AIDS Relief
Gates Foundation,UNAIDS
Gates Foundation,US Dept. of Health & Human Services
Gates Foundation,Roll Back Malaria
Gates Foundation,PATH
Gates Foundation,Medicines for Malaria Venture
Gates Foundation,Malaria No More
Gates Foundation,Nothing But Nets
Gates Foundation,IVCC
Gates Foundation,Johns Hopkins
Gates Foundation,Meningitis Vaccine Project 
Gates Foundation,World Pneumonia Day Coalition
Gates Foundation,"The Global Fund to Fight AIDS, TB, & Malaria"
Gates Foundation,Stop TB Partnership
Gates Foundation,Aeras
Gates Foundation,Global Alliance for TB Drug Development
Gates Foundation,Critical Path to TB Drug Regimens
Gates Foundation,FIND
Gates Foundation,TB Vaccine Initiative
Gates Foundation,CHAMPS
Gates Foundation,Countrywide Mortality Surveillance for Action
Gates Foundation,The Institute for Health Metrics & Evaluation
Gates Foundation,Coalition for Epidemic Preparedness Innovations
PIVI Partners,CDC
PIVI Partners,BD
